region_1,region_2,carrier_1,parameter,timestep_2,value
DK,DK,electricity,dem,d017,5.357519243
ES,ES,electricity,dem,d017,30.80758584
FI,FI,electricity,dem,d017,2.779453837
FR,FR,electricity,dem,d017,80.64225472
GR,GR,electricity,dem,d017,6.998406021
HR,HR,electricity,dem,d017,2.321185448
HU,HU,electricity,dem,d017,3.684360304
IE,IE,electricity,dem,d017,2.996098314
IT,IT,electricity,dem,d017,16.13294198
LU,LU,electricity,dem,d017,0.830998384
NL,NL,electricity,dem,d017,8.953191649
NO,NO,electricity,dem,d017,15.65745671
PL,PL,electricity,dem,d017,18.63060369
PT,PT,electricity,dem,d017,5.69320181
RO,RO,electricity,dem,d017,6.410497549
SE,SE,electricity,dem,d017,16.94316391
SI,SI,electricity,dem,d017,1.069668124
SK,SK,electricity,dem,d017,2.251946192
UK,UK,electricity,dem,d017,41.32588121
EE,EE,electricity,dem,d017,0.952318263
LT,LT,electricity,dem,d017,0.580322583
LV,LV,electricity,dem,d017,0.821848826
NONEU_Balkan,NONEU_Balkan,electricity,dem,d017,5.778796234
TR,TR,electricity,dem,d017,28.63981797
AT,AT,electricity,dem,d018,5.168728767
BE,BE,electricity,dem,d018,6.21118596
BG,BG,electricity,dem,d018,4.327388436
CH,CH,electricity,dem,d018,11.35501716
CZ,CZ,electricity,dem,d018,6.095137665
DK,DK,electricity,dem,d018,5.566040669
ES,ES,electricity,dem,d018,30.34714009
FI,FI,electricity,dem,d018,2.908944993
FR,FR,electricity,dem,d018,81.86331966
GR,GR,electricity,dem,d018,6.962394288
HR,HR,electricity,dem,d018,2.325243922
HU,HU,electricity,dem,d018,3.674208193
IE,IE,electricity,dem,d018,3.031866496
IT,IT,electricity,dem,d018,16.05242823
LU,LU,electricity,dem,d018,0.926001713
NL,NL,electricity,dem,d018,8.830747686
NO,NO,electricity,dem,d018,15.52167275
PL,PL,electricity,dem,d018,18.56383995
PT,PT,electricity,dem,d018,5.671564121
RO,RO,electricity,dem,d018,6.51607094
SE,SE,electricity,dem,d018,17.15907171
SI,SI,electricity,dem,d018,1.046375263
SK,SK,electricity,dem,d018,2.274721203
UK,UK,electricity,dem,d018,40.15406717
EE,EE,electricity,dem,d018,0.972925489
LT,LT,electricity,dem,d018,0.577205496
LV,LV,electricity,dem,d018,0.824481975
NONEU_Balkan,NONEU_Balkan,electricity,dem,d018,5.774370036
TR,TR,electricity,dem,d018,28.49244592
AT,AT,electricity,dem,d019,4.582992936
BE,BE,electricity,dem,d019,5.699999297
BG,BG,electricity,dem,d019,4.108885306
CH,CH,electricity,dem,d019,10.48198543
CZ,CZ,electricity,dem,d019,5.391964524
DK,DK,electricity,dem,d019,5.071036682
ES,ES,electricity,dem,d019,27.29986883
FI,FI,electricity,dem,d019,2.673923174
FR,FR,electricity,dem,d019,73.53237479
GR,GR,electricity,dem,d019,6.47002941
HR,HR,electricity,dem,d019,2.167748937
HU,HU,electricity,dem,d019,3.358147273
IE,IE,electricity,dem,d019,2.799043483
IT,IT,electricity,dem,d019,13.9108632
LU,LU,electricity,dem,d019,0.846944569
NL,NL,electricity,dem,d019,7.91499458
NO,NO,electricity,dem,d019,14.98464164
PL,PL,electricity,dem,d019,16.87765999
PT,PT,electricity,dem,d019,4.55694855
RO,RO,electricity,dem,d019,5.961561465
SE,SE,electricity,dem,d019,16.43766625
SI,SI,electricity,dem,d019,0.929047318
SK,SK,electricity,dem,d019,2.093796309
UK,UK,electricity,dem,d019,36.85002711
EE,EE,electricity,dem,d019,0.922520022
LT,LT,electricity,dem,d019,0.532642685
LV,LV,electricity,dem,d019,0.754183007
NONEU_Balkan,NONEU_Balkan,electricity,dem,d019,5.634410603
TR,TR,electricity,dem,d019,26.47752417
AT,AT,electricity,dem,d020,4.17752543
BE,BE,electricity,dem,d020,5.514974448
BG,BG,electricity,dem,d020,4.035093842
CH,CH,electricity,dem,d020,9.719338595
CZ,CZ,electricity,dem,d020,5.217712534
DK,DK,electricity,dem,d020,5.17398476
ES,ES,electricity,dem,d020,25.44977237
FI,FI,electricity,dem,d020,2.489058896
FR,FR,electricity,dem,d020,69.69765095
GR,GR,electricity,dem,d020,6.015280984
HR,HR,electricity,dem,d020,1.990921649
HU,HU,electricity,dem,d020,3.207669739
IE,IE,electricity,dem,d020,2.662970471
IT,IT,electricity,dem,d020,12.38530084
LU,LU,electricity,dem,d020,0.802385088
NL,NL,electricity,dem,d020,7.539049757
NO,NO,electricity,dem,d020,14.37182557
PL,PL,electricity,dem,d020,15.28078839
PT,PT,electricity,dem,d020,4.59934524
RO,RO,electricity,dem,d020,5.37044248
SE,SE,electricity,dem,d020,15.63861391
SI,SI,electricity,dem,d020,0.8781434
SK,SK,electricity,dem,d020,2.015626758
UK,UK,electricity,dem,d020,36.18120421
EE,EE,electricity,dem,d020,0.889367865
LT,LT,electricity,dem,d020,0.518046798
LV,LV,electricity,dem,d020,0.743558555
NONEU_Balkan,NONEU_Balkan,electricity,dem,d020,5.700292229
TR,TR,electricity,dem,d020,24.61654152
AT,AT,electricity,dem,d021,5.083158072
BE,BE,electricity,dem,d021,6.08111942
BG,BG,electricity,dem,d021,4.135265037
CH,CH,electricity,dem,d021,11.09822704
CZ,CZ,electricity,dem,d021,6.099105073
DK,DK,electricity,dem,d021,5.600825493
ES,ES,electricity,dem,d021,30.12738818
FI,FI,electricity,dem,d021,2.679496234
FR,FR,electricity,dem,d021,75.44027872
GR,GR,electricity,dem,d021,6.520625188
HR,HR,electricity,dem,d021,2.241586985
HU,HU,electricity,dem,d021,3.588985497
IE,IE,electricity,dem,d021,3.035604564
IT,IT,electricity,dem,d021,15.42119191
LU,LU,electricity,dem,d021,0.892087995
NL,NL,electricity,dem,d021,8.802295977
NO,NO,electricity,dem,d021,15.52167275
PL,PL,electricity,dem,d021,18.24797785
PT,PT,electricity,dem,d021,5.473127109
RO,RO,electricity,dem,d021,6.096115786
SE,SE,electricity,dem,d021,17.27389267
SI,SI,electricity,dem,d021,0.988765439
SK,SK,electricity,dem,d021,2.202978643
UK,UK,electricity,dem,d021,40.47626546
EE,EE,electricity,dem,d021,0.961412532
LT,LT,electricity,dem,d021,0.601466004
LV,LV,electricity,dem,d021,0.814010613
NONEU_Balkan,NONEU_Balkan,electricity,dem,d021,5.582176923
TR,TR,electricity,dem,d021,26.68457902
AT,AT,electricity,dem,d022,5.139418136
BE,BE,electricity,dem,d022,6.140322121
BG,BG,electricity,dem,d022,3.976735418
CH,CH,electricity,dem,d022,11.17648754
